tax_code,year,section,level,group,name,slug,unit,code_ul,code_fl,col_ul,col_fl,sort_order
tn,2011,3,3,"Снегоходы, мотосани с мощностью двигателя:","свыше 50 л.с. (свыше 36,77 кВт)",s3--свыше-50-л-с-свыше-36-77-квт,единиц,1333,2333,,,32
tn,2011,3,3,"Снегоходы, мотосани с мощностью двигателя:",из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s3--снегоходы-мотосани-с-мощностью-двигателя--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1334,2334,,,33
tn,2011,3,1,,водных транспортных средств,s3--водных-транспортных-средств,единиц,1340,2340,,,34
tn,2011,3,2,,"Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя:",s3--катера-моторные-лодки-и-другие-водные-транспортные-средства-с-мощностью-двигателя,единиц,1341,2341,,,35
tn,2011,3,3,"Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя:","до 100 л.с. (до 73,55 кВт) включительно",s3--катера-моторные-лодки-и-другие-водные-транспортные-средства-с-мощностью-двигателя--до-100-л-с-до-73-55-квт-включительно,единиц,1342,2342,,,36
tn,2011,3,3,"Катера, моторные лодки и другие водные транспортные средства с мощностью двигателя:","свыше 100 л.с. (свыше 73,55 кВт)",s3--катера-моторные-лодки-и-другие-водные-транспортные-средства-с-мощностью-двигателя--свыше-100-л-с-свыше-73-55-квт,единиц,1343,2343,,,37
tn,2011,3,2,,Яхты и другие парусно - моторные суда с мощностью двигателя:,s3--яхты-и-другие-парусно-моторные-суда-с-мощностью-двигателя,единиц,1344,2344,,,38
tn,2011,3,3,Яхты и другие парусно - моторные суда с мощностью двигателя:,"до 100 л.с. (до 73,55 кВт) включительно",s3--яхты-и-другие-парусно-моторные-суда-с-мощностью-двигателя--до-100-л-с-до-73-55-квт-включительно,единиц,1345,2345,,,39
tn,2011,3,3,Яхты и другие парусно - моторные суда с мощностью двигателя:,"свыше 100 л.с. (свыше 73,55 кВт)",s3--яхты-и-другие-парусно-моторные-суда-с-мощностью-двигателя--свыше-100-л-с-свыше-73-55-квт,единиц,1346,2346,,,40
tn,2011,3,2,,Гидроциклы с мощностью двигателя:,s3--гидроциклы-с-мощностью-двигателя,единиц,1347,2347,,,41
tn,2011,3,3,Гидроциклы с мощностью двигателя:,"до 100 л.с. (до 73,55 кВт) включительно",s3--гидроциклы-с-мощностью-двигателя--до-100-л-с-до-73-55-квт-включительно,единиц,1348,2348,,,42
